Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH,Rainfall,Crop
49,58,44,25.979909127171076,41.97316968394073,6.234027960663655,49.35967122017216,Pulses
80,63,60,25.213380140918506,64.1614515559209,5.824701393154963,147.8936896513396,Maize
79,35,61,23.545549540899408,43.66809019706868,6.6084844859190754,91.48538589793426,Cotton
74,46,86,29.565940526113312,42.78987721304084,6.584289297070436,81.9817105976215,Cotton
82,86,86,22.557861855309373,71.30103185970559,6.92332830588,245.5321642996927,Banana
68,65,60,17.308938256221488,44.82050932052023,7.024895278238187,92.69976604478347,Wheat
54,42,53,23.910606075732407,43.644721755761246,6.7553614103176525,75.50935246947468,Groundnut
83,78,97,31.626992350416717,88.78997883128378,6.842241025641473,197.72699724544105,Banana
54,47,53,21.959828624191452,40.90454577821076,6.325330330763264,73.32063738136893,Groundnut
83,65,64,17.80934509687381,50.85392166316497,6.211386337462144,106.15378865278278,Wheat
104,46,48,31.58367153944986,73.97431363068345,5.505522117123602,272.3192142682251,Rice
87,74,74,31.569055200289185,71.48089303468181,5.858465728544273,167.38035892876945,Rice
38,37,41,19.963470372789736,31.27116700572047,6.466473482573493,59.51099932160482,Pulses
109,61,66,24.734921110172415,57.6585374950758,6.966054514466925,139.42396769862586,Maize
105,62,53,27.40693394546586,73.06832073454986,6.641311527537825,152.54191267440953,Sugarcane
111,46,71,30.43274129639191,63.48328636014689,6.906626068916726,203.98410913016733,Sugarcane
115,52,71,28.98298199732804,77.36962332599262,7.320701758522887,212.4354048133793,Sugarcane
85,77,107,23.276606558252503,78.33019895740732,6.8249203883783025,162.16485273068562,Banana
57,54,36,28.60242662318631,35.4426449876927,6.971535180812044,40.031222619718946,Pulses
82,46,45,27.661209538663485,70.43527507871947,6.333161715706096,161.98653673336827,Sugarcane
73,44,86,25.524841048290575,50.37581243486732,7.406037917790355,81.81777614275764,Cotton
91,78,41,30.68405884886663,72.961738599068,6.497740485048942,190.01715214129274,Rice
61,67,61,15.330507329005483,46.90142496053366,6.951527017052046,97.64938160883368,Wheat
105,45,71,28.890450858190903,62.02133315831788,6.5544816840921065,174.21599382774258,Sugarcane
103,54,113,29.50294566141342,80.71549368149518,5.635434655081612,228.58932442660094,Banana
55,45,88,33.01702326739208,46.51917810403769,6.440482095131097,102.66897194628106,Cotton
48,49,36,17.61549643507487,43.81875476204932,6.580103019450807,96.20379932420407,Pulses
90,67,64,23.136074311065705,80.82895947655132,6.195784399345082,184.28250326959494,Rice
65,55,64,25.166358912710145,45.21658349660818,6.996253699757924,107.92516107732762,Groundnut
116,66,48,24.18307028888273,77.50894574931928,7.269991713357459,235.63242918780924,Sugarcane
112,73,90,34.034524913314215,85.70681302227888,6.503482382071343,195.48926078673912,Banana
69,64,42,29.736638367553173,45.67841949474931,6.305363860344394,79.13682521517359,Groundnut
85,68,48,20.111103032128145,50.36150727231042,6.3926724582201215,92.51758964549302,Maize
47,46,42,26.576128923003434,51.36617206670943,6.093674767828093,72.06294818356601,Groundnut
51,43,59,29.595158321286682,37.861954493335205,7.33806983276567,77.86831755983577,Pulses
80,69,40,20.76903884626359,49.85035387637728,6.292864481697067,100.57164806830536,Wheat
73,42,56,18.523245261053205,69.89101021594682,6.3639334167891315,99.5692239257731,Maize
114,86,103,24.961254570057704,81.0552993367098,6.358438703756257,247.44310588308593,Banana
70,52,60,25.436908072187887,43.38985493372185,7.1136025249167005,116.16928644964686,Cotton
62,47,53,15.971764937707686,52.3001445339834,7.485080775156395,59.80588106655668,Wheat
71,65,56,28.184037539096092,52.73242662884058,6.650693196292142,118.69739838355355,Maize
85,42,57,23.670723185801037,58.26481105112943,6.767013598291407,85.10614062810397,Wheat
99,40,47,30.529503158865552,79.89481673590252,7.33500801272635,183.79951568515358,Sugarcane
83,31,82,30.408365894132793,46.56305334949464,6.310083233455488,118.91045329863186,Cotton
101,55,94,25.402859621168943,72.54121025303769,6.283364890082207,220.0991619028194,Banana
54,36,63,32.78832305016774,43.88760067989746,6.822707810113357,101.97073264603162,Cotton
59,55,52,29.69536867114159,54.29190208359904,6.041067516767876,73.92925408668768,Groundnut
97,65,62,21.010326328159934,53.6866734866274,5.897047559940637,109.98201324580754,Maize
50,55,85,23.190118597395205,45.004857963291904,7.098453329412241,102.87575536200373,Cotton
52,60,40,29.548652806631942,54.75793833391537,6.554354052511401,86.70324477406113,Groundnut
32,41,55,20.339590179768923,45.15692220928738,6.021590232944634,46.964358430414975,Pulses
109,53,44,27.11260743630988,62.445854016275035,6.737423812675249,197.34717707805657,Sugarcane
109,76,62,20.720883862955507,88.98291463182773,6.386680387298048,189.1340435012571,Rice
78,65,40,20.393774484000623,53.67927538796282,6.9237767465848705,116.072412319253,Wheat
87,66,59,20.754741778758792,47.76339852413044,6.964932327663529,82.07770233440615,Wheat
106,51,42,27.845122125255216,63.02969543715576,6.048021231852094,99.17727891247937,Maize
80,43,61,21.54548385234327,52.36507768675786,6.673108429777453,99.34335812284453,Cotton
105,49,65,25.1093685419636,66.51736320589758,6.74405618144011,219.28903586919392,Sugarcane
70,68,63,22.35071043803886,56.06961860769697,6.42305185885696,62.4207680645806,Wheat
103,74,74,26.189265153671396,77.44036171585566,6.276412960741997,201.12053103795267,Rice
111,86,91,26.434910410625275,85.01742135582995,6.631814311127023,133.40610294867125,Banana
99,64,61,24.464527617639664,71.99969774323726,5.553485296747369,293.78122453247977,Rice
81,48,46,29.481610621517476,63.53539808848606,6.379025139571171,114.51179604402634,Maize
60,44,42,26.02440925901119,51.074061046916015,6.212727895024229,106.77167257290142,Groundnut
64,46,52,29.309291056872926,59.4849641706882,6.995931242030329,53.352269280641,Groundnut
92,68,50,26.469977806544335,69.37303887948269,6.625636012210046,138.58747119661618,Maize
117,46,52,23.338646263565458,77.93303203908503,6.3918969087767765,171.99072325380382,Rice
116,45,58,28.719581258401735,81.5784630497251,7.320539952957625,173.66851936820788,Sugarcane
54,42,33,20.253273700504703,44.163623911664,6.722500481946173,62.67925540733527,Pulses
56,39,55,19.953787935286478,38.689036889765426,6.380523260809708,64.31212520688503,Pulses
99,77,87,21.762893701656573,82.98420604232128,6.619067318898135,195.83793946263074,Banana
104,82,117,26.54503747409834,86.04218498053469,6.966851003131406,192.28065502353599,Banana
50,45,51,28.869649953353942,48.38231430557319,6.379485251983862,81.72466738639885,Pulses
97,53,54,26.818115971516598,82.55116160168127,6.0843143119231,285.1737015736484,Rice
90,51,49,34.25617226114838,87.80527567781833,5.955656752785713,243.0198896702305,Rice
65,67,43,24.63698404939982,47.067044560521055,6.583656111850872,54.66407821789909,Groundnut
115,66,56,24.196452607534184,78.22413441744372,6.102781882023298,190.64364637726948,Rice
114,68,45,34.246998699378864,78.142987709709,6.920122793903685,191.8243036290619,Sugarcane
69,57,66,20.452186701061894,40.52733948994504,6.37646336687805,98.63319984690997,Groundnut
54,56,50,25.94130715352135,47.61781713262043,6.969914397814604,100.52713538814251,Groundnut
112,41,74,22.0077817820095,60.341799120674935,6.113038590528694,219.1714397168912,Sugarcane
110,44,77,33.69748628386464,74.6287383081368,7.089181266107772,225.70812020424557,Sugarcane
86,60,53,20.4605439420783,55.02884879023597,6.1296781564310905,94.50593543056395,Maize
119,71,73,25.37244077049261,72.27115184399258,6.171573195592799,228.046155135569,Rice
82,61,80,28.278602581617285,81.21875943070772,6.8149804039875175,172.45277260761162,Banana
54,62,54,27.846682639443095,52.78722713948485,6.805044667519362,104.18906352059759,Groundnut
67,41,45,26.08087849541885,52.73288643244565,6.554815608542226,55.46012546307982,Groundnut
97,40,63,24.104712784032728,45.95918903083901,6.785403414022516,98.83493100454243,Wheat
83,49,56,27.38174439619307,66.45610970747396,6.688703634357392,248.0032575285477,Sugarcane
81,52,50,21.13794992162996,63.22199304776623,6.192068758436658,165.19026935122943,Sugarcane
95,57,83,22.728201265987174,76.91334566647727,6.845182614859018,181.6150132341734,Banana
111,57,58,32.32685955266674,68.62706569555966,6.521428821724025,153.18046814851652,Sugarcane
80,54,91,23.095005776086886,77.28539722096151,6.255125906282285,209.7513277218175,Banana
105,61,69,22.354665240742907,77.54571930484146,5.502595024383647,280.245166055338,Rice
56,42,68,29.862569958668153,50.73181291974665,6.924041759107433,64.16699198704426,Groundnut
72,43,83,31.087224859480507,41.246827250224825,6.295478183812453,67.9870157152487,Cotton
92,53,50,24.385361823183786,52.14344022679552,6.336894840188146,117.28320865185162,Maize
54,52,34,17.73425817713937,41.27930184037673,7.261064978816897,45.352259722723375,Pulses
104,66,92,28.90388680331073,83.58204638288979,6.683756857911007,184.79748586077744,Banana
33,44,51,23.802616770313186,44.908789483686604,6.647489319344519,47.65481816773382,Pulses
116,45,65,29.11332833440359,74.8870631092931,5.9982476978489405,199.55227219213708,Rice
112,61,60,22.29288708776498,74.91915456769016,5.660681373259556,177.98505360769587,Rice
109,80,103,33.451481369396376,71.60467491323284,6.2867670843553825,173.351587508656,Banana
73,35,61,29.06397784927924,58.34791226171063,6.01060001279521,118.50402977670855,Cotton
117,51,94,28.025550980673657,79.53238968252825,6.757873838053937,146.66008281942968,Banana
63,58,59,20.07610378684455,44.84819464830161,6.172255237108805,92.74340297091427,Wheat
45,44,69,21.543627152742022,49.62280203709635,6.532589432551585,53.109412209345614,Groundnut
69,44,62,20.48921979888977,44.03460924660472,7.02685732181975,56.15076778698598,Wheat
34,38,46,16.750440962125218,39.46332402103785,6.909152821583758,87.65736699798774,Pulses
46,34,59,26.189617883230774,38.17036585871834,7.399407100649932,99.45576858744343,Pulses
71,42,42,24.26449423589711,54.43193101502554,6.072141965946131,104.70601372259904,Wheat
106,53,67,19.963871314388456,53.28531595861986,6.777489664277659,126.563805448734,Maize
63,64,52,20.883066757950566,53.65964126834265,6.677922901948559,99.96477183987281,Wheat
58,68,45,25.39781061914633,48.77489350776678,6.5774862709061255,71.32174710910375,Groundnut
52,31,43,15.999286685862254,34.580507818495924,6.814273965920114,65.89168858818655,Pulses
76,58,47,26.32461128884006,53.33461519986766,6.854354938448126,114.6796538482776,Maize
118,76,115,34.965389238857654,85.04806240077646,6.560470691865189,221.21435207659763,Banana
83,61,41,31.43688028611036,87.53531273523498,5.842081748715907,273.1885957008019,Rice
44,33,42,16.912329934979738,37.945745811207345,7.1959430486693305,48.99504564092643,Pulses
33,41,42,25.800548048191118,42.82295265770595,7.04092266670065,72.56346660085578,Pulses
96,44,59,20.179172601617108,68.16901122667257,6.500070153719345,108.05959917345479,Maize
55,43,40,17.3002710467412,41.724596640335946,6.758833018326699,76.68725412607887,Pulses
37,57,40,28.981774237254186,41.30266367178418,7.044976235815339,95.34996287063774,Pulses
49,56,67,23.744353697204218,41.37843078734438,6.077321065488787,56.25481796310857,Groundnut
101,50,62,21.84216172768601,74.71812069190162,5.66552051036729,177.94813192411812,Rice
